"_aug_blaziken",106,7,13,-1.50722572888729,988,690,1,-0.20554099725429
"_aug_blossom",107,17,13,-0.46482496671838,183,1403,1,-0.459942602951562
"_aug_buttercup",108,28,30,-0.582817882989591,1074,301,1,-0.360000783767751
"_aug_chaos",109,1,25,-5.3950879793302,1726,729,1,-0.0890010535928713
"_aug_charlotte",110,26,19,0.551424201777628,1515,466,1,-0.380851578551465
"_aug_chipp",111,4,36,-4.06359129298647,1639,44,1,-0.192195568510637
"_aug_cirno",112,16,2,3.07972058397216,210,1220,1,-0.156242450769051
"_aug_cloud",113,24,9,1.85164248630539,748,1652,1,-0.260923088565427
"_aug_dan",114,46,34,0.65520056617335,1189,401,1,-0.343874891732761
"_aug_dio",115,29,26,-0.230513167963541,37,1320,1,-0.459076710038397
"_aug_dizzy",116,9,5,0.986503761227707,102,218,1,-0.120882706062751
"_aug_dudley",117,7,14,-2.32722481867681,1769,1159,1,-0.234426649481015
"_aug_eddie",118,3,19,-2.73456119870733,669,469,1,-0.221444614074744
"_aug_hina",119,3,13,-2.54364354144377,882,888,1,-0.268804083789759
"_aug_ichigo",120,14,21,-0.694050703660117,1304,749,1,-0.318990344792904
"_aug_i-no",121,5,30,-3.52530387006518,413,233,1,-0.265301855198237
"_aug_jin kazama",122,18,14,0.379737252415727,689,593,1,-0.308403945300206
"_aug_johnny",123,4,21,-3.68632435432588,413,1509,1,-0.224024175568697
"_aug_juri",124,2,15,-4.04266709038414,279,95,1,-0.338881965426604
"_aug_justice",125,9,21,-2.62942641100481,1533,1519,1,-0.236689897948633
"_aug_kenshiro",126,8,21,-2.14519784411783,1289,809,1,-0.230831964840714
"_aug_kuma",127,17,10,0.915509659130504,263,49,1,-0.402636874752857
"_aug_ky",128,30,62,-1.21339286611839,1750,1158,1,-0.428749831912184
"_aug_lee",129,30,26,0.180290702921891,1315,1290,1,-0.320609698349603
"_aug_leonardo",130,12,19,-1.01999354354314,867,956,1,-0.212046277966755
"_aug_link",131,16,42,-2.02870343456903,1049,1352,1,-0.276474887341911
"_aug_luigi",132,9,14,-1.92169846321488,1289,1109,1,-0.342511221308995
"_aug_mai shiranui",133,24,8,1.9921771359889,1274,413,1,-0.299281620141682
"_aug_may",134,5,24,-3.53814810041856,631,1603,1,-0.150934884196785
"_aug_neodio",135,11,13,0.228593794431483,284,147,1,-0.325140998112822
"_aug_petshop",136,6,22,-2.50150206977008,1061,562,1,-0.318702745620884
"_aug_polnareff",137,2,27,-3.83319990451682,1793,498,0,-0.0420070750544549
"_aug_potemkin",138,8,16,-1.54158354943428,1685,1329,1,-0.237144242009061
"_aug_rai",139,32,16,1.22456300107727,668,1308,1,-0.247095124813755
"_aug_raphael",140,15,15,-0.299924210868376,274,1627,1,-0.301520956982185
"_aug_robo-ky",141,10,27,-1.86180186712031,1595,6,1,-0.242439300355065
"_aug_rubber soul",142,4,21,-3.03171059341856,618,1179,1,-0.14253544239699
"_aug_scorpion",143,16,44,-2.20471817828975,398,1626,1,-0.28739350714446
"_aug_sephiroth",144,2,10,-3.89314470661647,1058,813,1,-0.700711970671278
"_aug_slayer",145,9,22,-2.83219130609254,1176,647,1,-0.264061134915387
"_aug_sol",146,2,24,-3.49676382517778,1613,656,1,-0.0613991122561939
"_aug_sonic",147,28,22,-0.504214633204251,1755,1229,1,-0.328484395730386
"_aug_tessa",148,12,0,6.63850309491802,1021,0,0,-0.0266978040830871
"_aug_toki",149,4,27,-3.50366917961554,301,244,1,-0.243136031181381
"_aug_uesugi kensin",150,2,11,-2.81589617927173,143,1669,1,-0.241200836010818
"_aug_unknown",151,13,13,-0.482675643738037,1700,1431,1,-0.311277625642554
"_aug_vanilla ice",152,13,49,-2.75493824918212,1396,532,1,-0.27439103131445
"_aug_vega",153,32,93,-2.21613153438885,1547,607,1,-0.23632392027321
"_aug_venom",154,23,42,-0.938685430883501,1630,618,1,-0.28963914522862
"_aug_wario",155,11,16,-0.746040594015892,635,512,1,-0.354662319014089
"_aug_zaku",156,7,46,-3.02087699506098,507,1343,1,-0.297840009285938
"_aug_zappa",157,28,6,2.25003376638291,1028,1460,1,-0.218415683585226
"aura",158,29,4,4.29390028774571,1223,668,1,-0.268060816041165
"auron",159,0,19,-5.39563917616832,0,629,0,-0.0222413404265503
"avdol ver 2001/01/30 by camrat",160,22,21,0.472725848001833,496,1624,1,-0.262104330453512
"axl",161,8,18,-0.790419671327028,442,1816,1,-0.44332943972204
"ayame",162,2,15,-4.7932297186069,454,1018,1,-0.187657630256024
"ayu tsukimiya",163,29,7,2.49502156786575,1425,897,1,-0.227335008114551
"babidi",164,1,39,-5.21381165808531,1088,984,1,-0.105761559418757
"baby bonnie hood",165,33,6,3.48086640907331,837,1686,1,-0.173706288019152
"baby commando",166,20,22,0.0165596419931071,1373,243,1,-0.260194154700366
"back beard",167,3,36,-4.12607987139334,684,460,1,-0.195232514876049
"baiken",168,16,15,0.765684855525027,1007,73,1,-0.806073257767904
"baitang",169,10,16,-1.43610982700352,102,609,1,-0.302879999573352
"baldhead",170,2,42,-4.9517529658705,629,39,1,-0.0712033496250565
"balrog",171,13,48,-2.91705059887913,530,954,1,-0.286541580356419
"bane",172,28,23,0.237879120854003,1335,789,1,-0.251040216460681
"banshee",173,11,29,-1.29122802880042,420,867,1,-0.225471037751901
"bardock",174,0,2,-4.91497047841528,0,1597,0,-0.0190552113537284
"barney",175,38,1,5.79665427199086,1333,1301,0,-0.067376757956608
"barom1",176,14,0,6.76006659912068,658,0,0,-0.0268070234104575
"bart",177,1,0,2.09324610812898,1485,0,0,-0.00830661467236735
"basara",178,23,17,0.0728983233432203,1010,1198,1,-0.361282123590126
"bass",179,20,13,0.686006140251146,540,882,1,-0.289952849784538
"bastion",180,0,2,-4.64412550321163,0,669,0,-0.0179764079281605
"batgirl",181,9,29,-2.14631218305894,844,1187,1,-0.280754268645318
"batman",182,38,17,1.56865985955952,444,982,1,-0.284023218806276
"batman beyond",183,19,20,0.918967903926378,1112,107,1,-0.447507360335774
"battlemage_[dnf]",184,0,2,-2.73523264850027,0,71,0,-0.0112546961993188
"battle mahoro",185,18,21,-0.886439115560011,1373,1241,1,-0.292678858982553
"battousai",186,32,12,1.01856662038158,1296,1289,1,-0.272013217745873
"beast",187,46,35,0.753596779184738,430,624,1,-0.32128167935567
"beatrice",188,12,0,5.88497629511393,916,0,0,-0.0238532798255783
"beavis",189,6,27,-2.85913838896167,322,1179,1,-0.180925398376798
"bebi vegeta",190,4,35,-3.47730396940016,6,1109,1,-0.164394569032833
